Round,Global Loss,Global Accuracy,1A_Loss,1A_Accuracy,1C_Loss,1C_Accuracy,1D_Loss,1D_Accuracy,1E_Loss,1E_Accuracy,1F_Loss,1F_Accuracy,2A_Loss,2A_Accuracy,2C_Loss,2C_Accuracy,2D_Loss,2D_Accuracy,2E_Loss,2E_Accuracy,2F_Loss,2F_Accuracy,3A_Loss,3A_Accuracy,3C_Loss,3C_Accuracy,3D_Loss,3D_Accuracy,3E_Loss,3E_Accuracy,3F_Loss,3F_Accuracy,4A_Loss,4A_Accuracy,4C_Loss,4C_Accuracy,4D_Loss,4D_Accuracy,4E_Loss,4E_Accuracy,4F_Loss,4F_Accuracy,5A_Loss,5A_Accuracy,5C_Loss,5C_Accuracy,5D_Loss,5D_Accuracy,5E_Loss,5E_Accuracy,5F_Loss,5F_Accuracy
1,1.8081860542297363,0.5641025900840759,1.6825532913208008,0.8571428656578064,1.4860795736312866,0.7857142686843872,1.583531379699707,0.761904776096344,1.4777246713638306,0.8095238208770752,1.5008509159088135,0.7857142686843872,1.6973271369934082,0.8409090638160706,1.500471830368042,0.8409090638160706,1.5672364234924316,0.7727272510528564,1.4981093406677246,0.8409090638160706,1.6613754034042358,0.75,1.7191003561019897,0.6800000071525574,1.5341376066207886,0.7599999904632568,1.420170783996582,0.7799999713897705,1.4897531270980835,0.7200000286102295,1.5699771642684937,0.7400000095367432,1.7277382612228394,0.5283018946647644,1.952376127243042,0.5094339847564697,1.8002139329910278,0.5471698045730591,1.65227210521698,0.6037735939025879,1.8642281293869019,0.5094339847564697,1.6597641706466675,0.7179487347602844,1.8131933212280273,0.6153846383094788,1.6352016925811768,0.7435897588729858,1.649678349494934,0.7948718070983887,1.8081860542297363,0.5641025900840759
2,1.6527975797653198,0.7435897588729858,1.605246901512146,0.8809523582458496,1.356898546218872,0.8809523582458496,1.4485994577407837,0.8571428656578064,1.325497031211853,0.9047619104385376,1.3796075582504272,0.9285714030265808,1.6185035705566406,0.8863636255264282,1.3947991132736206,0.8863636255264282,1.4562840461730957,0.9090909361839294,1.3960888385772705,0.8863636255264282,1.539095401763916,0.8636363744735718,1.5615273714065552,0.8600000143051147,1.3877559900283813,0.9200000166893005,1.2926130294799805,0.9200000166893005,1.361039400100708,0.8799999952316284,1.4123256206512451,0.8799999952316284,1.5497573614120483,0.7547169923782349,1.8459659814834595,0.6226415038108826,1.6898887157440186,0.7169811129570007,1.5259374380111694,0.7735849022865295,1.7294961214065552,0.6603773832321167,1.49923574924469,0.7948718070983887,1.6613147258758545,0.7948718070983887,1.528364658355713,0.8461538553237915,1.5479660034179688,0.8717948794364929,1.6527975797653198,0.7435897588729858
3,1.5565396547317505,0.8205128312110901,1.5523920059204102,0.8809523582458496,1.27937912940979,0.9523809552192688,1.3694556951522827,0.9285714030265808,1.2420766353607178,0.9285714030265808,1.3096976280212402,0.9285714030265808,1.5687365531921387,0.8409090638160706,1.3319145441055298,0.9318181872367859,1.3842086791992188,0.9090909361839294,1.3263667821884155,0.9545454382896423,1.4605541229248047,0.9090909361839294,1.4722894430160522,0.8999999761581421,1.3028875589370728,0.9399999976158142,1.2200387716293335,0.9399999976158142,1.282192349433899,0.8999999761581421,1.3178601264953613,0.9599999785423279,1.4523115158081055,0.7924528121948242,1.7950665950775146,0.6603773832321167,1.6465920209884644,0.7169811129570007,1.4688122272491455,0.7735849022865295,1.660653829574585,0.7358490824699402,1.4064797163009644,0.8461538553237915,1.5705041885375977,0.7948718070983887,1.463450312614441,0.8717948794364929,1.4865905046463013,0.8717948794364929,1.5565396547317505,0.8205128312110901
4,1.4894216060638428,0.8717948794364929,1.5192171335220337,0.8809523582458496,1.2292065620422363,0.9523809552192688,1.3191982507705688,0.9285714030265808,1.1907474994659424,0.9523809552192688,1.2673072814941406,0.9285714030265808,1.5424416065216064,0.8409090638160706,1.2950950860977173,0.9318181872367859,1.335639238357544,0.9318181872367859,1.2793924808502197,0.9545454382896423,1.4088478088378906,0.9090909361839294,1.4189324378967285,0.8999999761581421,1.2500938177108765,0.9599999785423279,1.1732937097549438,0.9399999976158142,1.229090929031372,0.9200000166893005,1.2571431398391724,0.9599999785423279,1.3870327472686768,0.849056601524353,1.767769455909729,0.698113203048706,1.6244597434997559,0.7547169923782349,1.4351911544799805,0.7924528121948242,1.6218938827514648,0.7547169923782349,1.3460333347320557,0.9230769276618958,1.5121545791625977,0.8461538553237915,1.421212077140808,0.8717948794364929,1.4467025995254517,0.8717948794364929,1.4894216060638428,0.8717948794364929
5,1.4370263814926147,0.8974359035491943,1.4967182874679565,0.8809523582458496,1.1976070404052734,0.9523809552192688,1.2841278314590454,0.9285714030265808,1.1531625986099243,0.976190447807312,1.2396275997161865,0.9285714030265808,1.5330332517623901,0.8181818127632141,1.2764081954956055,0.9090909361839294,1.302335262298584,0.9318181872367859,1.2493555545806885,0.9545454382896423,1.3735140562057495,0.9090909361839294,1.3839480876922607,0.8999999761581421,1.2161365747451782,0.9399999976158142,1.139893651008606,0.9399999976158142,1.188372254371643,0.9399999976158142,1.2146847248077393,0.9599999785423279,1.3367787599563599,0.8679245114326477,1.7489714622497559,0.7358490824699402,1.6068593263626099,0.7547169923782349,1.408928632736206,0.8113207817077637,1.5973039865493774,0.7735849022865295,1.30282461643219,0.9230769276618958,1.4686861038208008,0.8717948794364929,1.3893414735794067,0.8717948794364929,1.4180717468261719,0.8717948794364929,1.4370263814926147,0.8974359035491943
6,1.3997560739517212,0.8974359035491943,1.4747178554534912,0.8809523582458496,1.1796860694885254,0.9523809552192688,1.2610387802124023,0.9285714030265808,1.1300691366195679,0.976190447807312,1.2219926118850708,0.9285714030265808,1.5244892835617065,0.8181818127632141,1.268144130706787,0.9090909361839294,1.2779465913772583,0.9318181872367859,1.2297154664993286,0.9318181872367859,1.3473445177078247,0.9090909361839294,1.361998438835144,0.8999999761581421,1.1948866844177246,0.9399999976158142,1.1192289590835571,0.9599999785423279,1.1609991788864136,0.9599999785423279,1.1870249509811401,0.9599999785423279,1.3083711862564087,0.8679245114326477,1.7444709539413452,0.7358490824699402,1.6062835454940796,0.7735849022865295,1.399208903312683,0.8301886916160583,1.588222622871399,0.7924528121948242,1.277096152305603,0.9230769276618958,1.4373908042907715,0.8717948794364929,1.365439534187317,0.8717948794364929,1.3957895040512085,0.8717948794364929,1.3997560739517212,0.8974359035491943
7,1.3719130754470825,0.8974359035491943,1.4563703536987305,0.8809523582458496,1.1694341897964478,0.9523809552192688,1.245262861251831,0.9285714030265808,1.1140352487564087,0.976190447807312,1.2103664875030518,0.9285714030265808,1.522329330444336,0.8181818127632141,1.2668194770812988,0.9090909361839294,1.2598857879638672,0.9090909361839294,1.2174201011657715,0.9318181872367859,1.327879786491394,0.9090909361839294,1.3474682569503784,0.8999999761581421,1.181003212928772,0.9399999976158142,1.1049158573150635,0.9800000190734863,1.1416406631469727,0.9599999785423279,1.1669297218322754,0.9599999785423279,1.290079951286316,0.8679245114326477,1.7479289770126343,0.7358490824699402,1.6116069555282593,0.7735849022865295,1.3965309858322144,0.8301886916160583,1.589023470878601,0.7924528121948242,1.2619799375534058,0.8974359035491943,1.4155995845794678,0.8717948794364929,1.3477386236190796,0.8974359035491943,1.3796758651733398,0.8717948794364929,1.3719130754470825,0.8974359035491943
8,1.3523379564285278,0.8974359035491943,1.4399973154067993,0.8809523582458496,1.1637086868286133,0.9523809552192688,1.2334325313568115,0.9047619104385376,1.1032936573028564,0.976190447807312,1.2026405334472656,0.9285714030265808,1.517483115196228,0.8181818127632141,1.267568588256836,0.9090909361839294,1.2461358308792114,0.9090909361839294,1.2076958417892456,0.9318181872367859,1.313575267791748,0.9090909361839294,1.3359097242355347,0.8999999761581421,1.1717405319213867,0.9399999976158142,1.0953683853149414,0.9800000190734863,1.1289094686508179,0.9599999785423279,1.1523969173431396,0.9599999785423279,1.2806978225708008,0.8679245114326477,1.7542051076889038,0.7358490824699402,1.6170856952667236,0.7735849022865295,1.3975520133972168,0.8301886916160583,1.5949255228042603,0.7924528121948242,1.252962589263916,0.8974359035491943,1.39974045753479,0.8717948794364929,1.3338098526000977,0.8974359035491943,1.3674225807189941,0.8974359035491943,1.3523379564285278,0.8974359035491943
9,1.3347781896591187,0.8974359035491943,1.426084280014038,0.8809523582458496,1.1610887050628662,0.9523809552192688,1.2241483926773071,0.9047619104385376,1.0953218936920166,0.976190447807312,1.19735586643219,0.9285714030265808,1.5145525932312012,0.8181818127632141,1.2718058824539185,0.9090909361839294,1.2342963218688965,0.9090909361839294,1.201393485069275,0.9318181872367859,1.3022136688232422,0.9090909361839294,1.3265719413757324,0.8999999761581421,1.1657031774520874,0.9399999976158142,1.0885441303253174,0.9800000190734863,1.1196136474609375,0.9599999785423279,1.1409515142440796,0.9599999785423279,1.2749340534210205,0.8679245114326477,1.7565622329711914,0.7358490824699402,1.6170836687088013,0.7735849022865295,1.3968054056167603,0.8301886916160583,1.5983788967132568,0.7924528121948242,1.2472379207611084,0.8974359035491943,1.3851537704467773,0.8717948794364929,1.3212207555770874,0.8974359035491943,1.3552852869033813,0.8974359035491943,1.3347781896591187,0.8974359035491943
10,1.3222768306732178,0.8974359035491943,1.40756094455719,0.8809523582458496,1.1557661294937134,0.9523809552192688,1.214911937713623,0.9047619104385376,1.0903993844985962,0.976190447807312,1.1908880472183228,0.9285714030265808,1.4995940923690796,0.8181818127632141,1.2683194875717163,0.9090909361839294,1.2226208448410034,0.9090909361839294,1.1917177438735962,0.9318181872367859,1.2922335863113403,0.9090909361839294,1.3121219873428345,0.8999999761581421,1.1593183279037476,0.9399999976158142,1.0835233926773071,1.0,1.1130728721618652,0.9599999785423279,1.131226658821106,0.9599999785423279,1.2811630964279175,0.8679245114326477,1.76844322681427,0.7358490824699402,1.6289962530136108,0.7735849022865295,1.4066206216812134,0.8301886916160583,1.6108829975128174,0.7924528121948242,1.239795207977295,0.8974359035491943,1.374123454093933,0.8717948794364929,1.3106615543365479,0.8974359035491943,1.3456140756607056,0.8974359035491943,1.3222768306732178,0.8974359035491943
11,1.3097467422485352,0.8974359035491943,1.3934102058410645,0.8809523582458496,1.1535634994506836,0.9523809552192688,1.2080544233322144,0.9047619104385376,1.0861115455627441,0.976190447807312,1.1860718727111816,0.9285714030265808,1.491716742515564,0.8181818127632141,1.2693400382995605,0.9090909361839294,1.2134807109832764,0.9090909361839294,1.1859358549118042,0.9318181872367859,1.2827602624893188,0.9090909361839294,1.3026587963104248,0.8999999761581421,1.1545215845108032,0.9399999976158142,1.0785092115402222,0.9800000190734863,1.107454538345337,0.9599999785423279,1.1228911876678467,0.9599999785423279,1.2816450595855713,0.8679245114326477,1.7699060440063477,0.7358490824699402,1.6322565078735352,0.7735849022865295,1.4080911874771118,0.8301886916160583,1.6139167547225952,0.7924528121948242,1.2350703477859497,0.8974359035491943,1.3614000082015991,0.8717948794364929,1.299640417098999,0.8974359035491943,1.3350286483764648,0.8974359035491943,1.3097467422485352,0.8974359035491943
12,1.2991280555725098,0.8974359035491943,1.3800146579742432,0.8809523582458496,1.1504590511322021,0.9523809552192688,1.2024787664413452,0.9047619104385376,1.082322597503662,0.976190447807312,1.1808706521987915,0.9285714030265808,1.4831821918487549,0.8181818127632141,1.2696055173873901,0.9090909361839294,1.2047433853149414,0.9090909361839294,1.1795499324798584,0.9318181872367859,1.2734284400939941,0.9090909361839294,1.2941163778305054,0.8999999761581421,1.1497564315795898,0.9399999976158142,1.0728654861450195,0.9800000190734863,1.1024844646453857,0.9599999785423279,1.1152005195617676,0.9599999785423279,1.2821487188339233,0.8679245114326477,1.7706960439682007,0.7358490824699402,1.6364020109176636,0.7735849022865295,1.4104286432266235,0.8301886916160583,1.6165472269058228,0.7924528121948242,1.2317088842391968,0.8974359035491943,1.350306749343872,0.8717948794364929,1.2906060218811035,0.8974359035491943,1.3254849910736084,0.8974359035491943,1.2991280555725098,0.8974359035491943
13,1.2882572412490845,0.8974359035491943,1.365591287612915,0.8809523582458496,1.146645426750183,0.9523809552192688,1.195232629776001,0.9047619104385376,1.0800057649612427,0.976190447807312,1.1753545999526978,0.9285714030265808,1.4718128442764282,0.8181818127632141,1.2683708667755127,0.9090909361839294,1.1959987878799438,0.9090909361839294,1.172843337059021,0.9318181872367859,1.2639387845993042,0.9090909361839294,1.2851417064666748,0.8999999761581421,1.1450785398483276,0.9399999976158142,1.0692769289016724,0.9800000190734863,1.0986360311508179,0.9599999785423279,1.1079277992248535,0.9599999785423279,1.2840518951416016,0.8679245114326477,1.7720199823379517,0.7358490824699402,1.6395436525344849,0.7735849022865295,1.4152469635009766,0.8301886916160583,1.6172153949737549,0.7924528121948242,1.227047085762024,0.8974359035491943,1.3394489288330078,0.8717948794364929,1.28134286403656,0.8974359035491943,1.3158551454544067,0.8974359035491943,1.2882572412490845,0.8974359035491943
14,1.2758420705795288,0.8974359035491943,1.3543541431427002,0.8809523582458496,1.1463637351989746,0.9523809552192688,1.1885985136032104,0.9047619104385376,1.0782270431518555,0.976190447807312,1.1723458766937256,0.9285714030265808,1.4664677381515503,0.8181818127632141,1.2737083435058594,0.9090909361839294,1.1877319812774658,0.9090909361839294,1.1697412729263306,0.9318181872367859,1.2550753355026245,0.9090909361839294,1.279632806777954,0.8999999761581421,1.142624020576477,0.9399999976158142,1.066841959953308,0.9800000190734863,1.0951564311981201,0.9599999785423279,1.102012276649475,0.9599999785423279,1.2795155048370361,0.8679245114326477,1.76116943359375,0.7358490824699402,1.6322804689407349,0.7735849022865295,1.41162109375,0.8301886916160583,1.6071664094924927,0.7924528121948242,1.22410249710083,0.8974359035491943,1.3256272077560425,0.8717948794364929,1.2705682516098022,0.8974359035491943,1.3056730031967163,0.8974359035491943,1.2758420705795288,0.8974359035491943
15,1.2673004865646362,0.8974359035491943,1.3414232730865479,0.8809523582458496,1.1438120603561401,0.9523809552192688,1.1833453178405762,0.9047619104385376,1.0762414932250977,0.976190447807312,1.1673543453216553,0.9285714030265808,1.4586235284805298,0.8181818127632141,1.2730313539505005,0.9090909361839294,1.180129885673523,0.9090909361839294,1.1632781028747559,0.9318181872367859,1.247880220413208,0.9090909361839294,1.2720575332641602,0.8999999761581421,1.1383004188537598,0.9399999976158142,1.0627180337905884,0.9800000190734863,1.091161847114563,0.9599999785423279,1.0962014198303223,0.9599999785423279,1.278307318687439,0.8679245114326477,1.7568166255950928,0.7358490824699402,1.6325557231903076,0.7735849022865295,1.412356972694397,0.8301886916160583,1.6053105592727661,0.7924528121948242,1.2211071252822876,0.8974359035491943,1.3162566423416138,0.8717948794364929,1.2631675004959106,0.8974359035491943,1.2971338033676147,0.8974359035491943,1.2673004865646362,0.8974359035491943
16,1.2592568397521973,0.8974359035491943,1.3282853364944458,0.8809523582458496,1.1412596702575684,0.9523809552192688,1.178609848022461,0.9047619104385376,1.0736753940582275,0.976190447807312,1.1624131202697754,0.9285714030265808,1.4483346939086914,0.8181818127632141,1.27092707157135,0.9090909361839294,1.17292058467865,0.9090909361839294,1.1564065217971802,0.9318181872367859,1.241142749786377,0.9090909361839294,1.2639591693878174,0.8999999761581421,1.134487509727478,0.9399999976158142,1.058716893196106,0.9800000190734863,1.0874096155166626,0.9599999785423279,1.0902714729309082,0.9599999785423279,1.27792489528656,0.8679245114326477,1.7549432516098022,0.7358490824699402,1.634684681892395,0.7735849022865295,1.4125699996948242,0.8301886916160583,1.6061985492706299,0.7924528121948242,1.217427134513855,0.8974359035491943,1.3070207834243774,0.8717948794364929,1.2572154998779297,0.8974359035491943,1.2887599468231201,0.8974359035491943,1.2592568397521973,0.8974359035491943
17,1.2483184337615967,0.8974359035491943,1.3159536123275757,0.8809523582458496,1.1403135061264038,0.9523809552192688,1.1734052896499634,0.9047619104385376,1.072454810142517,0.976190447807312,1.1587551832199097,0.9285714030265808,1.4395610094070435,0.8181818127632141,1.2724289894104004,0.9090909361839294,1.1652894020080566,0.9090909361839294,1.1522104740142822,0.9318181872367859,1.2326809167861938,0.9090909361839294,1.2573504447937012,0.8999999761581421,1.13132905960083,0.9399999976158142,1.0564931631088257,0.9800000190734863,1.0851733684539795,0.9599999785423279,1.0849604606628418,0.9599999785423279,1.2760292291641235,0.8679245114326477,1.7459793090820312,0.7358490824699402,1.6314280033111572,0.7735849022865295,1.4108166694641113,0.8301886916160583,1.6013591289520264,0.7924528121948242,1.214439034461975,0.8974359035491943,1.2939788103103638,0.8717948794364929,1.2492607831954956,0.8974359035491943,1.2796061038970947,0.8974359035491943,1.2483184337615967,0.8974359035491943
18,1.2399665117263794,0.8974359035491943,1.3037657737731934,0.8809523582458496,1.1389522552490234,0.9523809552192688,1.1695528030395508,0.9047619104385376,1.0704501867294312,0.976190447807312,1.154813528060913,0.9285714030265808,1.432267427444458,0.8181818127632141,1.2717448472976685,0.9090909361839294,1.1588495969772339,0.9090909361839294,1.1472363471984863,0.9318181872367859,1.2264426946640015,0.9090909361839294,1.250704288482666,0.8999999761581421,1.127581238746643,0.9399999976158142,1.0533686876296997,0.9800000190734863,1.0818978548049927,0.9599999785423279,1.080239176750183,0.9599999785423279,1.2727760076522827,0.8679245114326477,1.7382564544677734,0.7358490824699402,1.6280450820922852,0.7735849022865295,1.4075051546096802,0.8301886916160583,1.5969053506851196,0.7924528121948242,1.2119433879852295,0.8974359035491943,1.2842038869857788,0.8717948794364929,1.2433254718780518,0.8974359035491943,1.2724099159240723,0.8974359035491943,1.2399665117263794,0.8974359035491943
19,1.2305550575256348,0.8974359035491943,1.2920445203781128,0.8809523582458496,1.1385241746902466,0.9523809552192688,1.1657001972198486,0.9047619104385376,1.0690354108810425,0.976190447807312,1.1514990329742432,0.9285714030265808,1.4251322746276855,0.8181818127632141,1.272294521331787,0.9090909361839294,1.151877999305725,0.9090909361839294,1.1438896656036377,0.9318181872367859,1.219650387763977,0.9090909361839294,1.245008945465088,0.8999999761581421,1.1244893074035645,0.9399999976158142,1.0508227348327637,0.9800000190734863,1.0790526866912842,0.9599999785423279,1.0756393671035767,0.9599999785423279,1.2692434787750244,0.8679245114326477,1.7269740104675293,0.7358490824699402,1.6211838722229004,0.7735849022865295,1.4018323421478271,0.8301886916160583,1.5893867015838623,0.7924528121948242,1.209849238395691,0.8974359035491943,1.2734766006469727,0.8717948794364929,1.2364001274108887,0.8974359035491943,1.2637131214141846,0.8974359035491943,1.2305550575256348,0.8974359035491943
20,1.221848726272583,0.8974359035491943,1.2794420719146729,0.8809523582458496,1.1373587846755981,0.9523809552192688,1.162182092666626,0.9047619104385376,1.0679899454116821,0.976190447807312,1.1475118398666382,0.9285714030265808,1.4150707721710205,0.8181818127632141,1.2701109647750854,0.9090909361839294,1.1448988914489746,0.9090909361839294,1.138682246208191,0.9318181872367859,1.2122482061386108,0.9090909361839294,1.239009976387024,0.8999999761581421,1.12155282497406,0.9399999976158142,1.048291802406311,0.9800000190734863,1.0765937566757202,0.9599999785423279,1.070915699005127,0.9599999785423279,1.2676481008529663,0.8679245114326477,1.717857837677002,0.7358490824699402,1.6180802583694458,0.7735849022865295,1.3991479873657227,0.8301886916160583,1.58446204662323,0.7924528121948242,1.2065033912658691,0.8974359035491943,1.2616792917251587,0.8717948794364929,1.2300074100494385,0.8974359035491943,1.2557082176208496,0.8974359035491943,1.221848726272583,0.8974359035491943
21,1.2134747505187988,0.8974359035491943,1.2648528814315796,0.8809523582458496,1.134636640548706,0.9523809552192688,1.1580556631088257,0.9047619104385376,1.0665653944015503,0.976190447807312,1.1431108713150024,0.9523809552192688,1.4002827405929565,0.8181818127632141,1.2642618417739868,0.9090909361839294,1.138245701789856,0.9090909361839294,1.1323928833007812,0.9318181872367859,1.203924298286438,0.9090909361839294,1.2306761741638184,0.8999999761581421,1.1180342435836792,0.9399999976158142,1.0464353561401367,0.9800000190734863,1.0742846727371216,0.9599999785423279,1.0657665729522705,0.9599999785423279,1.2708786725997925,0.8679245114326477,1.7147334814071655,0.7358490824699402,1.6198524236679077,0.7735849022865295,1.4008756875991821,0.8301886916160583,1.5838521718978882,0.7924528121948242,1.2017701864242554,0.8974359035491943,1.251225233078003,0.8717948794364929,1.224475622177124,0.8974359035491943,1.248697280883789,0.8974359035491943,1.2134747505187988,0.8974359035491943
22,1.2058130502700806,0.8974359035491943,1.2528812885284424,0.8809523582458496,1.132920265197754,0.9523809552192688,1.154900312423706,0.9047619104385376,1.0651441812515259,0.976190447807312,1.1394190788269043,0.9523809552192688,1.3905173540115356,0.8181818127632141,1.2610499858856201,0.9090909361839294,1.1322041749954224,0.9090909361839294,1.1281867027282715,0.9318181872367859,1.1966638565063477,0.9090909361839294,1.225157380104065,0.8999999761581421,1.1145209074020386,0.9399999976158142,1.044003963470459,0.9800000190734863,1.0716274976730347,0.9599999785423279,1.061259150505066,0.9599999785423279,1.268825650215149,0.8679245114326477,1.705947995185852,0.7358490824699402,1.6169657707214355,0.7735849022865295,1.3971978425979614,0.8301886916160583,1.5792640447616577,0.7924528121948242,1.1987375020980835,0.8974359035491943,1.2406166791915894,0.8717948794364929,1.2192682027816772,0.8974359035491943,1.2412548065185547,0.8974359035491943,1.2058130502700806,0.8974359035491943
23,1.1987226009368896,0.8974359035491943,1.2409387826919556,0.8809523582458496,1.1306114196777344,0.9523809552192688,1.151885747909546,0.9047619104385376,1.0640417337417603,0.976190447807312,1.134865403175354,0.9523809552192688,1.3795380592346191,0.8181818127632141,1.2560871839523315,0.9090909361839294,1.1264090538024902,0.9090909361839294,1.1232709884643555,0.9318181872367859,1.1893584728240967,0.9090909361839294,1.2187293767929077,0.8999999761581421,1.111035943031311,0.9399999976158142,1.041946291923523,0.9800000190734863,1.0690109729766846,0.9599999785423279,1.056645154953003,0.9599999785423279,1.269703984260559,0.8679245114326477,1.6998357772827148,0.7358490824699402,1.6157703399658203,0.7735849022865295,1.3967127799987793,0.8301886916160583,1.5760935544967651,0.7924528121948242,1.1951934099197388,0.8974359035491943,1.2295207977294922,0.8717948794364929,1.2138968706130981,0.8974359035491943,1.2343343496322632,0.8974359035491943,1.1987226009368896,0.8974359035491943
24,1.191186785697937,0.8974359035491943,1.2283369302749634,0.8809523582458496,1.1274125576019287,0.9523809552192688,1.148672103881836,0.9047619104385376,1.062793254852295,0.976190447807312,1.1302576065063477,0.9523809552192688,1.3664307594299316,0.8181818127632141,1.2491966485977173,0.9090909361839294,1.1207021474838257,0.9090909361839294,1.1184312105178833,0.9318181872367859,1.180648922920227,0.9090909361839294,1.212079644203186,0.8999999761581421,1.1069250106811523,0.9399999976158142,1.040367841720581,0.9800000190734863,1.0672825574874878,0.9599999785423279,1.0521972179412842,0.9599999785423279,1.271862506866455,0.8679245114326477,1.6917822360992432,0.7358490824699402,1.6153770685195923,0.7735849022865295,1.3963282108306885,0.8301886916160583,1.5715718269348145,0.7924528121948242,1.1906018257141113,0.8974359035491943,1.2186737060546875,0.8717948794364929,1.2092071771621704,0.8974359035491943,1.2269539833068848,0.8974359035491943,1.191186785697937,0.8974359035491943
25,1.1826608180999756,0.8974359035491943,1.218326210975647,0.9047619104385376,1.126462697982788,0.9523809552192688,1.1456047296524048,0.9047619104385376,1.0626332759857178,0.976190447807312,1.126695990562439,0.9523809552192688,1.360498309135437,0.8181818127632141,1.2469167709350586,0.9090909361839294,1.1148604154586792,0.9090909361839294,1.1155694723129272,0.9318181872367859,1.1719207763671875,0.9090909361839294,1.2082303762435913,0.9200000166893005,1.1050184965133667,0.9399999976158142,1.0386664867401123,0.9800000190734863,1.065964937210083,0.9599999785423279,1.0476819276809692,0.9599999785423279,1.2707008123397827,0.8679245114326477,1.679679274559021,0.7358490824699402,1.6097025871276855,0.7735849022865295,1.3930000066757202,0.8301886916160583,1.5637972354888916,0.7924528121948242,1.1893503665924072,0.8974359035491943,1.2059926986694336,0.8717948794364929,1.2024059295654297,0.8974359035491943,1.2188338041305542,0.8974359035491943,1.1826608180999756,0.8974359035491943
